# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	ThiagoSantos_TFC2024
# Description:	 	PtIr_old_AFMtest01_AuSi
# Date:	 	05/15/2024 11:56:15
# Scanner Center Position (X, Y):	[µm]	56.97	38.37	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	750.000	1,500.000	 
# Averaging:	 	1	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	0.979340	 	 
# Laser Source:	 	Synchrotron
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	273,232.594	 	 
# Tip Amplitude:	[mV]	156.699	 	 
# Tapping Amplitude:	[nm]	88.132	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	87.04	 	 
# Regulator (P, I, D):	 	2.551595	4.025369	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.362	 	 
# M1A Cantilever Factor:	 	1.000	 	 
# Q-Factor:	 	376.4	 	 
# Version:	 	2.1.11145.0
Row   	Column	Run   	Depth 	Z              	M              	O0A            	O0P            	O1A            	O1P            	O2A            	O2P            	O3A            	O3P            	O4A            	O4P            	O5A            	O5P            	
0     	0     	0     	50    	1.5194521E-06  	7.502202E-05   	140.49826      	0              	8.299762       	2.9034977      	2.3557816      	-0.45478466    	0.9495159      	2.559226       	0.17354788     	-0.6438718     	1.0648803E-07  	1.107468       	
0     	0     	0     	51    	1.519486E-06   	7.651687E-05   	141.11285      	0              	8.404593       	2.9145777      	2.3358922      	-0.42076883    	0.8992043      	2.5183394      	0.16850913     	-0.6769338     	1.0648803E-07  	1.107468       	
0     	0     	0     	52    	1.5195337E-06  	7.7959805E-05  	140.57584      	0              	8.113857       	2.9105291      	2.2786877      	-0.42845175    	0.90721047     	2.5397706      	0.15057394     	-0.77438694    	1.0648803E-07  	1.107468       	
0     	0     	0     	53    	1.5194302E-06  	7.942457E-05   	140.98007      	0              	8.502137       	2.9060366      	2.388234       	-0.4421202     	0.9529122      	2.5420594      	0.16250397     	-0.65627044    	1.0648803E-07  	1.107468       	
0     	0     	0     	54    	1.5194728E-06  	8.088436E-05   	140.69524      	0              	8.008511       	2.9114268      	2.306732       	-0.40874073    	0.90736055     	2.5140128      	0.18351877     	-0.66349125    	1.0648803E-07  	1.107468       	
0     	0     	0     	55    	1.519511E-06   	8.234683E-05   	140.86496      	0              	8.523676       	2.9100423      	2.4324872      	-0.43271405    	0.9183717      	2.5378816      	0.17756131     	-0.6901162     	1.0648803E-07  	1.107468       	
0     	0     	0     	56    	1.5195143E-06  	8.380223E-05   	140.86009      	0              	8.159962       	2.9081898      	2.3144643      	-0.41734654    	0.8871467      	2.5401027      	0.16672061     	-0.58809274    	1.0648803E-07  	1.107468       	
0     	0     	0     	57    	1.5194715E-06  	8.527765E-05   	140.66942      	0              	8.263605       	2.9137602      	2.4280448      	-0.45072767    	0.90643126     	2.5635276      	0.16072688     	-0.6474433     	1.0648803E-07  	1.107468       	
0     	0     	0     	58    	1.519518E-06   	8.6755615E-05  	141.04633      	0              	8.346995       	2.9091344      	2.3839774      	-0.40670475    	0.8855146      	2.6050553      	0.17218035     	-0.854351      	1.0648803E-07  	1.107468       	
0     	0     	0     	59    	1.5195128E-06  	8.82229E-05    	140.5994       	0              	8.223627       	2.9014492      	2.2667675      	-0.44460252    	0.8874353      	2.5223658      	0.18469375     	-0.68945897    	1.0648803E-07  	1.107468       	
0     	0     	0     	60    	1.5194836E-06  	8.966788E-05   	140.97787      	0              	8.42807        	2.9071057      	2.368376       	-0.44081628    	0.92052466     	2.5253868      	0.16561033     	-0.7489598     	1.0648803E-07  	1.107468       	
0     	0     	0     	61    	1.5194954E-06  	9.114736E-05   	140.65398      	0              	8.306054       	2.9092536      	2.3637764      	-0.4513069     	0.89809424     	2.5579474      	0.16729037     	-0.6577993     	1.0648803E-07  	1.107468       	
0     	0     	0     	62    	1.51956E-06    	9.2625945E-05  	141.04688      	0              	8.23332        	2.916626       	2.33951        	-0.44459736    	0.90916896     	2.5307379      	0.15535972     	-0.643589      	1.0648803E-07  	1.107468       	
0     	0     	0     	63    	1.5194929E-06  	9.409245E-05   	140.53258      	0              	8.4500675      	2.9119132      	2.3765023      	-0.42548692    	0.9410005      	2.572111       	0.1595767      	-0.68219453    	1.0648803E-07  	1.107468       	
0     	0     	0     	64    	1.5194946E-06  	9.5551826E-05  	141.11769      	0              	8.0516615      	2.9096837      	2.3236432      	-0.44862866    	0.9103616      	2.5790632      	0.15485668     	-0.6110562     	1.0648803E-07  	1.107468       	
0     	0     	0     	65    	1.5195543E-06  	9.699508E-05   	140.51323      	0              	8.557015       	2.904367       	2.4582279      	-0.4504714     	0.98291636     	2.5296638      	0.17423284     	-0.603355      	1.0648803E-07  	1.107468       	
0     	0     	0     	66    	1.5195574E-06  	9.84949E-05    	141.03732      	0              	7.96484        	2.9074836      	2.2411063      	-0.40844274    	0.82801        	2.5523758      	0.1534361      	-0.6889902     	1.0648803E-07  	1.107468       	
0     	0     	0     	67    	1.5195121E-06  	9.9966506E-05  	140.6034       	0              	8.657249       	2.9093971      	2.4460776      	-0.4098699     	1.010151       	2.55708        	0.17766444     	-0.6879436     	1.0648803E-07  	1.107468       	
0     	0     	0     	68    	1.5195084E-06  	0.000101439604 	141.10094      	0              	7.9898586      	2.9119987      	2.269412       	-0.40819144    	0.8714922      	2.5608432      	0.15543896     	-0.82906693    	1.0648803E-07  	1.107468       	
0     	0     	0     	69    	1.5195607E-06  	0.000102869715 	140.57004      	0              	8.511535       	2.9062424      	2.492413       	-0.4383567     	0.9832632      	2.5401196      	0.17247005     	-0.619614      	1.0648803E-07  	1.107468       	
0     	0     	0     	70    	1.5195902E-06  	0.000104340026 	141.0564       	0              	8.131666       	2.90948        	2.3094058      	-0.41195598    	0.8269786      	2.589936       	0.14616238     	-0.8206587     	1.0648803E-07  	1.107468       	
0     	0     	0     	71    	1.5195276E-06  	0.00010580718  	140.65526      	0              	8.304423       	2.9133396      	2.3691823      	-0.44341862    	0.9082782      	2.539683       	0.18700354     	-0.6594003     	1.0648803E-07  	1.107468       	
0     	0     	0     	72    	1.5195545E-06  	0.0001072926   	140.92682      	0              	8.350356       	2.9063146      	2.3566957      	-0.4162704     	0.89389884     	2.5968554      	0.16524331     	-0.7162071     	1.0648803E-07  	1.107468       	
0     	0     	0     	73    	1.5195337E-06  	0.00010878234  	140.67558      	0              	8.191094       	2.909896       	2.353647       	-0.41807082    	0.92289776     	2.5444458      	0.17320119     	-0.5491025     	1.0648803E-07  	1.107468       	
0     	0     	0     	74    	1.5195803E-06  	0.00011024565  	140.86298      	0              	8.541884       	2.9126081      	2.3743954      	-0.41468477    	0.9149         	2.5525515      	0.17593452     	-0.6481654     	1.0648803E-07  	1.107468       	
